Material,Laser power (W),Laser speed (mm/s),Layer thickness (um),Hatch spacing (um),Beam size (um),Scanning strategy,Linear energy density (J/m),Volumetric energy density (J/mm3),Yield strength (MPa),Ultimate tensile strength (MPa),Enlongation (%)
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,668.0,1011.0,22.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,875.0,1153.0,17.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,645.0,1025.0,38.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,1145.0,1376.0,19.0
0,950,320,100,500.0,100,0,2968.75,59.375,531.0,866.0,21.0
0,950,320,100,500.0,100,0,2968.75,59.375,668.0,884.0,7.0
0,950,320,100,500.0,100,0,2968.75,59.375,481.0,788.0,34.0
0,950,320,100,500.0,100,0,2968.75,59.375,1065.0,1272.0,15.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,650.0,845.0,28.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,626.0,857.0,29.0
0,250,700,50,120.0,80,0,357.1428571428572,59.523809523809526,942.0,1078.0,20.0
0,950,320,100,500.0,100,0,2968.75,59.375,543.0,782.0,31.0
0,950,320,100,500.0,100,0,2968.75,59.375,479.0,665.0,28.0
0,950,320,100,500.0,100,0,2968.75,59.375,872.0,1005.0,17.0
0,350,800,40,120.0,100,0,437.5,91.14583333333334,873.0,1126.0,28.6
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1207.0,1471.0,18.9
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1369.0,1529.0,18.6
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1337.0,1500.0,19.8
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1361.0,1509.0,20.4
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1260.0,1458.0,21.4
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1248.0,1457.0,22.0
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1354.0,1506.0,15.8
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1037.0,1329.0,27.8
0,350,800,40,120.0,100,0,437.5,91.14583333333334,541.0,976.0,39.1
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1268.0,1476.0,17.9
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1306.0,1475.0,22.2
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1356.0,1500.0,20.8
0,350,800,40,120.0,100,0,437.5,91.14583333333334,1172.0,1414.0,23.8
0,160,800,50,160.0,80,1,200.0,25.0,760.0,1335.0,21.3
0,160,800,50,160.0,80,1,200.0,25.0,620.0,1325.0,28.6
0,160,800,50,160.0,80,1,200.0,25.0,1135.0,1530.0,10.6
0,160,800,50,160.0,80,1,200.0,25.0,1120.0,1500.0,14.5
0,160,800,50,160.0,80,1,200.0,25.0,1300.0,1580.0,9.6
0,160,800,50,160.0,80,1,200.0,25.0,1245.0,1640.0,16.6
0,180,600,35,105.0,80,2,300.0,81.63265306122449,1123.0,1323.0,21.0
0,180,600,35,105.0,80,2,300.0,81.63265306122449,1084.0,1386.0,23.0
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,686.0,994.0,31.3
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,1281.0,1468.0,14.5
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,1319.0,1434.0,15.5
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,803.0,1073.0,26.5
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,1395.0,1551.0,11.5
0,200,900,30,90.0,70,2,222.2222222222222,82.3045267489712,1361.0,1498.0,15.0
1,200,1000,50,80.0,75,2,200.0,50.0,487.0,594.0,49.0
1,200,1000,50,80.0,75,2,200.0,50.0,376.0,461.0,31.0
1,175,800,40,120.0,100,2,218.75,45.57291666666667,567.0,685.0,34.5
1,185,800,40,120.0,100,2,231.25,48.177083333333336,574.0,692.0,34.5
1,190,800,40,120.0,100,2,237.5,49.47916666666666,582.0,708.0,34.5
1,170,700,60,120.0,100,2,242.8571428571429,33.73015873015873,534.0,653.0,16.2
1,170,700,60,120.0,100,2,242.8571428571429,33.73015873015873,528.0,659.0,16.6
1,170,700,60,120.0,100,2,242.8571428571429,33.73015873015873,444.0,567.0,8.0
1,90,600,25,84.0,35,2,150.0,71.42857142857143,520.0,585.0,55.0
1,100,200,50,120.0,200,2,500.0,83.33333333333333,517.0,687.0,32.0
1,100,200,50,120.0,200,2,500.0,83.33333333333333,463.0,687.0,25.0
1,100,200,50,120.0,200,2,500.0,83.33333333333333,454.0,750.0,29.0
1,100,200,50,120.0,200,2,500.0,83.33333333333333,440.0,662.0,28.0
1,100,200,50,120.0,200,2,500.0,83.33333333333333,409.0,674.0,26.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,439.0,579.0,21.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,445.0,585.0,21.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,365.0,582.0,31.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,370.0,595.0,29.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,257.0,592.0,47.0
1,350,1000,60,200.0,100,2,350.0,29.166666666666668,263.0,611.0,48.0
1,100,700,20,50.0,50,0,142.85714285714286,142.85714285714286,528.342,618.182,27.758
1,100,700,20,50.0,50,0,142.85714285714286,142.85714285714286,482.353,556.15,42.289
1,100,700,20,70.0,50,0,142.85714285714286,102.04081632653062,541.176,645.989,36.327
1,100,700,20,70.0,50,0,142.85714285714286,102.04081632653062,474.866,556.15,62.222
1,150,700,20,50.0,50,0,214.28571428571428,214.28571428571428,510.16,647.326,41.73
1,150,700,20,50.0,50,0,214.28571428571428,214.28571428571428,432.086,548.663,64.271
1,150,700,20,70.0,50,0,214.28571428571428,153.0612244897959,525.134,649.198,40.798
1,150,700,20,70.0,50,0,214.28571428571428,153.0612244897959,489.84,572.193,70.978
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,537.849,639.193,26.3028
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,481.386,628.335,24.5632
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,445.191,628.335,29.2558
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,413.34,618.201,30.3871
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,401.758,602.275,27.7085
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,295.346,541.468,24.145
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,477.026,497.979,2.9993
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,454.586,566.568,14.777
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,427.802,534.736,12.6249
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,403.191,464.65,6.61
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,364.104,429.196,4.7328
1,200,750,50,110.0,65,0,266.6666666666667,48.48484848484848,290.989,502.798,16.0429
1,100,100,30,120.0,200,2,266.6666666666667,74.07407407407408,441.5,570.8,28.9
1,100,100,30,120.0,200,2,1000.0,277.77777777777777,304.4,543.8,37.8
1,100,100,30,120.0,200,2,1000.0,277.77777777777777,306.5,550.7,35.5
1,100,200,30,120.0,200,2,1000.0,277.77777777777777,275.5,306.1,2.5
1,100,200,30,120.0,200,2,500.0,138.88888888888889,196.3,288.1,9.6
1,100,200,30,120.0,200,2,500.0,138.88888888888889,193.8,275.4,6.8
1,100,280,30,120.0,200,2,500.0,138.88888888888889,175.0,189.3,1.9
1,100,280,30,120.0,200,2,357.1428571428572,99.2063492063492,128.6,163.4,4.1
1,100,280,30,120.0,200,2,357.1428571428572,99.2063492063492,130.9,171.5,3.9
1,120,100,30,120.0,200,2,357.1428571428572,99.2063492063492,464.8,593.0,35.0
1,120,100,30,120.0,200,2,1200.0,333.3333333333333,321.7,570.2,51.2
1,120,100,30,120.0,200,2,1200.0,333.3333333333333,322.1,573.9,52.2
1,120,200,30,120.0,200,2,1200.0,333.3333333333333,400.6,462.0,7.1
1,120,200,30,120.0,200,2,600.0,166.66666666666666,272.3,447.7,17.4
1,120,200,30,120.0,200,2,600.0,166.66666666666666,265.1,447.8,14.9
1,120,280,30,120.0,200,2,600.0,166.66666666666666,228.6,251.8,2.6
1,120,280,30,120.0,200,2,428.57142857142856,119.04761904761904,174.8,243.3,6.8
1,120,280,30,120.0,200,2,428.57142857142856,119.04761904761904,187.8,247.4,6.3
1,140,100,30,120.0,200,2,428.57142857142856,119.04761904761904,455.2,585.8,40.8
1,140,100,30,120.0,200,2,1400.0,388.88888888888886,321.9,570.7,54.7
1,140,100,30,120.0,200,2,1400.0,388.88888888888886,319.0,566.7,52.7
1,140,200,30,120.0,200,2,1400.0,388.88888888888886,426.7,516.9,15.2
1,140,200,30,120.0,200,2,700.0,194.44444444444443,290.8,497.0,22.9
1,140,200,30,120.0,200,2,700.0,194.44444444444443,297.8,506.5,23.9
1,140,280,30,120.0,200,2,700.0,194.44444444444443,301.4,347.8,5.6
1,140,280,30,120.0,200,2,500.0,138.88888888888889,217.0,323.2,9.1
1,140,280,30,120.0,200,2,500.0,138.88888888888889,221.3,332.6,9.6
2,400,60,200,500.0,200,3,6666.666666666667,66.66666666666667,1050.0,1140.0,7.03
2,194,1000,20,70.0,100,3,194.0,138.57142857142858,1030.0,1268.0,4.2
2,130,300,30,100.0,100,4,433.33333333333337,144.44444444444443,1162.0,1200.0,4.7
2,170,300,30,100.0,100,4,566.6666666666666,188.88888888888889,1140.0,1160.0,4.4
2,210,300,30,100.0,100,4,700.0,233.33333333333331,1140.0,1190.0,5.1
2,130,500,30,100.0,100,4,260.0,86.66666666666667,1204.0,1213.0,5.0
2,170,500,30,100.0,100,4,340.0,113.33333333333331,1240.0,1250.0,5.0
2,210,500,30,100.0,100,4,420.0,140.0,1160.0,1200.0,4.7
2,130,700,30,100.0,100,4,185.7142857142857,61.90476190476191,979.0,1030.0,4.3
2,170,700,30,100.0,100,4,242.8571428571429,80.95238095238095,1200.0,1210.0,4.9
2,210,700,30,100.0,100,4,300.0,100.0,1220.0,1230.0,4.9
2,130,900,30,100.0,100,4,144.44444444444443,48.14814814814815,944.0,999.0,3.5
2,170,900,30,100.0,100,4,188.88888888888889,62.96296296296296,990.0,1040.0,4.3
2,210,900,30,100.0,100,4,233.33333333333331,77.77777777777779,1200.0,1200.0,4.9
2,130,1100,30,100.0,100,4,118.18181818181816,39.39393939393939,902.0,953.0,2.9
2,170,1100,30,100.0,100,4,154.54545454545453,51.51515151515152,950.0,1010.0,3.7
2,210,1100,30,100.0,100,4,190.9090909090909,63.63636363636364,990.0,1050.0,4.3
2,130,1300,30,100.0,100,4,100.0,33.333333333333336,889.0,938.0,2.6
2,170,1300,30,100.0,100,4,130.76923076923077,43.58974358974359,940.0,990.0,3.2
2,210,1300,30,100.0,100,4,161.53846153846155,53.84615384615385,960.0,1020.0,3.9
2,130,300,30,100.0,100,4,433.33333333333337,144.44444444444443,1178.0,1239.0,5.8
2,170,300,30,100.0,100,4,566.6666666666666,188.88888888888889,1150.0,1200.0,5.3
2,210,300,30,100.0,100,4,700.0,233.33333333333331,1120.0,1140.0,4.3
2,130,500,30,100.0,100,4,260.0,86.66666666666667,1216.0,1257.0,6.1
2,170,500,30,100.0,100,4,340.0,113.33333333333331,1260.0,1300.0,6.3
2,210,500,30,100.0,100,4,420.0,140.0,1180.0,1240.0,5.8
2,130,700,30,100.0,100,4,185.7142857142857,61.90476190476191,972.0,989.0,3.3
2,170,700,30,100.0,100,4,242.8571428571429,80.95238095238095,1210.0,1250.0,6.1
2,210,700,30,100.0,100,4,300.0,100.0,1240.0,1280.0,6.2
2,130,900,30,100.0,100,4,144.44444444444443,48.14814814814815,935.0,958.0,2.5
2,170,900,30,100.0,100,4,188.88888888888889,62.96296296296296,970.0,1000.0,3.5
2,210,900,30,100.0,100,4,233.33333333333331,77.77777777777779,1200.0,1250.0,6.1
